⺀	336,320 450,358 554,404 587,429 614,466;317,476 347,493 455,528 543,568 578,594 602,629
⺈	468,205 490,252 428,335 320,441 274,477 240,495;430,372 527,359 588,343 614,343 646,360 631,392 540,520 520,546 505,555
⺊	444,204 486,231 502,247 508,266 497,630 477,907 481,1013 492,1086;535,618 556,603 630,593 712,573 755,567 784,571
⺌	546,230 577,250 600,278 580,557 577,573 561,593;406,416 471,483 486,523;784,330 800,357 806,375 802,381 653,521
⺍	297,298 360,352 380,393;448,239 506,298 519,334;755,255 714,247 592,380
⺗	447,641 474,664 492,690 486,746 489,906 484,963 472,989 462,991 357,942;330,773 304,844 258,918;553,798 620,877 627,909;642,760 738,854 756,886 762,920
⺮	299,242 328,279 285,396 248,457 201,518 141,571;325,385 444,361 495,354 519,357;324,486 371,517 393,549;616,203 647,239 617,340 567,432 490,518;640,367 748,350 808,333 857,334;631,459 717,505 738,536
⺳	275,301 286,339 276,375 239,440 234,493;313,369 329,356 363,348 663,297 774,287 802,298 825,331 734,426;415,364 429,378 435,402 417,440 342,539 272,596;553,339 582,362 576,454 581,476 600,502 660,519 706,517 739,507 782,515
⺼	140,283 175,311 184,338 188,467 172,656 161,713 128,813 76,921 51,951;205,290 216,297 234,297 312,274 339,285 355,302 350,884 344,909 330,928 233,890;218,512 226,499 241,493 265,490 299,497;193,673 215,657 232,654 260,652 293,659
㐆	320,195 347,228 244,367;193,365 218,384 228,399 230,418 224,584 212,666 193,749 156,845 115,917 83,959;266,402 273,388 301,377 388,359 429,359 453,376 459,385 430,516 407,587 411,606;260,505 269,492 301,483 341,476 361,480;250,611 260,601 360,580 374,572;230,731 359,693 390,693 410,710 388,845 372,897 351,935 327,957 291,939 261,914
㐌	593,215 606,223 628,254 608,314 527,468 465,547;567,443 646,429 777,387 821,384;428,718 450,723 483,719 678,639 755,601 793,593 814,605 784,755 758,801 724,792 681,764;636,490 653,502 670,529 652,687 626,823;511,580 544,628 525,782 534,876 551,909 588,934 631,948 726,960 848,957 918,938 932,929 936,909 947,773
㐬	546,227 633,268 668,306;465,414 502,420 546,416 740,370 793,369;565,440 597,469 560,538 512,596 506,620 552,619 710,575 718,583;691,507 773,587 788,629;454,721 485,750 488,764 468,888 448,936 431,960 408,983 370,1005;573,719 595,745 598,759 594,973;691,667 712,693 716,712 707,789 707,906 718,954 742,983 784,999 842,1002 877,995 907,980 920,966 918,817
㐭	101,543 138,552 177,550 519,480 549,478 578,484;312,436 341,464 304,581 287,606;148,628 171,647 182,668 224,916;201,632 218,640 324,612 462,586 482,584 522,594 546,625 504,830 493,859 474,866;257,691 281,717 301,823;290,690 303,696 382,674 402,679 416,695 409,727 399,747 385,753;319,802 325,793 375,780 413,776 437,781;244,893 292,878 435,854 463,838
㐱	580,198 609,233 567,331 482,451 419,513 374,546;626,300 625,315 635,318 680,365 806,462 861,478 986,492;583,462 607,501 582,551 514,637 460,678;647,591 665,632 606,725 540,790 467,836;708,717 721,734 733,767 703,825 650,905 569,992 520,1032 434,1086
㒸	448,251 507,291 528,326;706,180 726,201 734,220 693,269 621,336;417,419 474,425 590,404 710,371 753,372;575,436 564,458 494,536 424,590 380,611;480,574 502,576 548,613 577,646 606,693 635,755 644,801 646,857 629,967 612,1004 594,1024 477,971;494,599 503,634 477,669 427,720 357,767;560,666 562,722 511,800 463,858 404,914 336,955;729,485 740,495 754,527 668,613 624,648 617,647;603,646 669,720 809,811 847,823 992,833
㒼	153,421 209,423 422,385 753,337 798,335 853,348;285,271 307,279 327,297 364,567;603,187 637,229 589,441 578,462 565,468;382,538 401,521 521,500 594,493 618,501;140,658 166,679 180,734 185,817 177,988;202,691 212,675 228,671 612,608 803,589 826,599 844,616 842,783 834,903 820,976 800,1006 721,966 705,949;453,530 477,548 487,566 491,774 484,910 500,989;311,774 322,811 296,840 256,870;268,721 283,725 287,735 303,741 306,749 378,791 404,815 412,832;621,771 624,796 612,807 577,831 538,847;563,703 579,709 587,720 714,807 743,837 749,858
㓞	197,307 252,311 413,274 464,272;231,406 289,407 418,371 459,371;146,526 192,540 411,461 469,434;294,197 314,204 339,229 368,554;538,291 585,296 787,238 813,242 830,260 801,413 784,459 763,492 743,508 710,491 671,458;644,303 660,315 666,332 652,370 603,450 553,499
㔾	299,421 316,429 346,427 690,370 707,370 734,390 716,603 700,673 683,713 646,754 597,731 555,702;250,409 273,438 277,454 260,762 262,868 269,910 285,950 325,986 364,1005 418,1020 553,1037 654,1032 782,1005 864,968 900,937 915,780
㕡	327,181 362,218 353,346 337,371;386,293 399,281 427,270 453,264 489,266;159,382 169,414 131,496 128,539;194,430 312,395 489,362 519,371 537,391 482,459;254,488 302,488 391,469 416,470;270,583 233,592 175,653 127,684;420,544 470,571 488,591;324,612 344,645 305,720 266,767 203,831 158,867 88,911 34,935;375,668 386,665 411,675 474,712 503,732 530,766;255,818 254,938 244,970 248,1012;278,816 286,823 299,823 420,791 433,795 460,822 448,1023;274,994 283,986 350,977 397,975 415,985;565,500 631,491 727,452 761,450 786,458 783,496 746,654 723,717 687,784 646,834 602,870 537,901 516,901;551,576 589,596 696,748 823,892 866,911 991,939
㝵	479,259 502,278 512,300 548,491;536,261 544,271 552,271 722,233 753,237 775,254 782,273 754,396 735,450 739,469;553,376 562,365 619,352 665,344 696,348;569,471 574,461 686,443 703,435;508,574 533,580 570,577 739,537 771,537;441,712 486,718 634,688 860,655 913,656 957,668;702,597 731,621 748,645 745,961 722,1001 691,991 610,944;512,778 577,824 591,852
㠯	344,492 380,528 386,571 385,831 379,921 365,1007 367,1063;416,539 427,525 440,520 590,483 617,487 646,516 614,590 586,609;413,679 433,664 576,636 646,640;416,812 616,763 652,767 688,801 651,898 622,920;405,991 423,975 610,950 672,949 697,959
㡭	546,226 566,256 517,359 506,399 571,396 579,388;621,307 634,333 588,412 524,501 522,517 533,527 549,527 594,516;600,482 632,541;752,207 767,238 695,359 694,375 722,381 760,375 767,368;815,288 828,316 774,394 707,474 705,490 715,499 731,499 786,482 792,485;789,447 830,493 836,514;446,616 485,620 521,615 815,562 845,561 864,567;525,636 538,646 541,661 500,730 499,749 537,754 558,743;603,666 614,691 570,758 542,789 524,818 523,836 549,839 598,824;602,787 632,837;710,605 728,624 678,731 737,731 760,719;802,649 813,666 812,682 785,724 730,784 716,815 717,824 730,828 798,813 805,819;801,778 841,825 848,851;389,249 417,279 423,315 424,599 407,940 448,943 543,925 635,918 836,913 905,914 945,932
㢆	593,183 673,229 695,260;493,369 507,376 553,376 792,323 844,320;423,348 445,366 460,395 443,581 421,707 392,798 347,895 264,1011;505,478 534,514 573,727;537,479 561,487 670,459 683,463 695,454 707,457 717,450 772,443 809,446 823,453 840,473 810,637 797,674 803,694;600,593 712,565 753,568;587,700 608,689 764,661;643,489 668,502 676,515 679,568 673,899 658,919;537,811 565,817 624,813 747,784 816,780;450,959 506,968 849,927 886,931 933,946
㢟	603,361 631,379 639,425 637,678 620,695;670,527 794,497 830,499;455,513 480,530 497,552 497,748 528,747 675,717 734,713 797,712 845,730;136,389 188,394 295,358 310,357 325,366 311,411 255,527 241,583 269,590 298,582 318,585 341,595 354,614 307,744 273,805 242,846 167,909 73,963;145,722 185,722 224,732 333,791 470,877 616,947 706,980 792,979 941,963
㣎	612,190 636,216 579,313 555,331;468,353 504,390 544,527;491,347 496,353 527,357 636,328 718,316 729,309 782,312 807,347 751,496;547,441 553,433 613,419 675,407 697,411;559,512 568,503 720,481 729,475;594,518 621,540 619,654 614,670;502,566 496,615 474,678;780,538 876,591 905,629;706,578 715,611 668,662 626,697 545,747 480,774 464,772 460,779;741,677 750,713 707,761 660,801 549,870 484,894 469,892 464,898;762,794 778,837 747,876 699,921 621,980 538,1029 468,1060 428,1073 414,1071 409,1077
㥯	752,238 697,225 624,268 485,315;455,361 496,400 505,418;579,329 613,362 625,383;774,279 785,308 700,375;494,468 518,469 714,420 749,423;638,460 601,514;463,561 503,559 720,507 760,503 804,511;472,632 511,634 718,586 739,588 770,617 736,716 719,725;475,708 527,704 647,676 696,678;467,785 501,788 712,751 759,759;392,863 379,916 336,1007;471,870 486,888 512,947 551,985 611,1013 679,1026 788,1022 835,998 783,892;580,826 647,862 670,892;817,791 906,842 931,876
㧜	128,489 196,487 348,440 406,434;260,205 281,217 310,250 297,589 300,881 292,914 277,941 217,913 169,880;65,782 107,783 339,599 365,587 391,564;530,333 557,343 615,337 851,287 866,289 874,298;574,527 598,544 603,564 606,631 596,718 598,760;624,553 641,541 678,537 828,500 842,500 863,514 871,527 873,655 864,711 853,729 781,697;678,379 695,388 715,411 712,912;476,315 501,341 512,377 508,750 496,976 521,980 682,957 860,947 901,949 934,962
㬎	309,298 337,320 385,519;368,324 381,311 452,295 572,275 619,281 641,311 610,433 593,471 597,492;386,407 393,400 461,383 517,374 546,379;398,495 497,472 548,468 557,461;311,521 321,531 332,563 254,668 246,691 288,698 336,697 353,689;409,593 424,626 373,698 293,790 285,819 317,818 401,792 408,798;404,750 441,797 451,819;545,513 555,522 566,551 498,649 492,672 527,678 588,675 600,666;656,568 668,588 671,608 614,695 567,745 547,785 548,793 566,795 658,773 660,777;649,716 704,779 713,815;265,904 250,975 222,1045;380,902 413,963 424,1005;512,893 560,962 569,993;624,872 717,963 728,981 738,1027
㲋	426,175 456,217 418,299 345,393 273,448;434,327 562,301 602,312 598,335 522,453 496,468;243,496 287,524 344,698;326,529 338,512 465,495 633,458 677,454 699,464 725,496 683,584 650,605;357,655 372,666 640,629 708,638;316,825 326,814 382,796 444,785 479,789;244,705 274,736 283,767 286,869 277,961 331,952 467,886;750,697 761,721 762,740 691,785 605,826 597,840;543,699 570,739 565,877 572,939 587,973 630,1002 679,1014 746,1016 813,1003 852,985 876,962 888,847
㳄	236,642 302,676 334,712;160,745 220,786 241,814;214,1076 209,1047 213,999 336,835;490,579 518,611 502,661 458,741 401,801;514,694 544,693 704,643 747,639 775,662 714,752;556,747 586,786 557,876 530,932 489,983 455,1010 412,1035 362,1052;596,859 600,876 648,934 747,1029 872,1052
㼌	443,539 391,532 316,580 263,598 259,608;191,591 211,605 226,627 221,770 212,820 193,877 167,923 115,979 86,997;284,610 310,621 318,636 310,901 320,930 367,901 399,873 397,866;388,804 427,850 437,872;373,678 448,744 462,780;731,517 676,506 617,542 570,563 557,563 556,570;484,557 521,589 527,708 514,830 495,900 461,964 415,1018 381,1041;587,571 617,596 612,849 606,903 614,955 658,932 702,894 701,887;696,827 751,901 760,938;645,619 661,626 677,645 773,785 847,872 866,884 979,912
