#EM 32.857143
A	18	9,0 1,21;9,0 17,21;4,14 14,14
B	21	4,0 4,21;4,0 13,0 16,1 17,2 18,4 18,6 17,8 16,9 13,10;4,10 13,10 16,11 17,12 18,14 18,17 17,19 16,20 13,21 4,21
C	21	18,5 17,3 15,1 13,0 9,0 7,1 5,3 4,5 3,8 3,13 4,16 5,18 7,20 9,21 13,21 15,20 17,18 18,16
D	21	4,0 4,21;4,0 11,0 14,1 16,3 17,5 18,8 18,13 17,16 16,18 14,20 11,21 4,21
E	19	4,0 4,21;4,0 17,0;4,10 12,10;4,21 17,21
F	18	4,0 4,21;4,0 17,0;4,10 12,10
G	21	18,5 17,3 15,1 13,0 9,0 7,1 5,3 4,5 3,8 3,13 4,16 5,18 7,20 9,21 13,21 15,20 17,18 18,16 18,13;13,13 18,13
H	22	4,0 4,21;18,0 18,21;4,10 18,10
I	8	4,0 4,21
J	16	12,0 12,16 11,19 10,20 8,21 6,21 4,20 3,19 2,16 2,14
K	21	4,0 4,21;18,0 4,14;9,9 18,21
L	17	4,0 4,21;4,21 16,21
M	24	4,0 4,21;4,0 12,21;20,0 12,21;20,0 20,21
N	22	4,0 4,21;4,0 18,21;18,0 18,21
O	22	9,0 7,1 5,3 4,5 3,8 3,13 4,16 5,18 7,20 9,21 13,21 15,20 17,18 18,16 19,13 19,8 18,5 17,3 15,1 13,0 9,0
P	21	4,0 4,21;4,0 13,0 16,1 17,2 18,4 18,7 17,9 16,10 13,11 4,11
Q	22	9,0 7,1 5,3 4,5 3,8 3,13 4,16 5,18 7,20 9,21 13,21 15,20 17,18 18,16 19,13 19,8 18,5 17,3 15,1 13,0 9,0;12,17 18,23
R	21	4,0 4,21;4,0 13,0 16,1 17,2 18,4 18,6 17,8 16,9 13,10 4,10;11,10 18,21
S	20	17,3 15,1 12,0 8,0 5,1 3,3 3,5 4,7 5,8 7,9 13,11 15,12 16,13 17,15 17,18 15,20 12,21 8,21 5,20 3,18
T	16	8,0 8,21;1,0 15,0
U	22	4,0 4,15 5,18 7,20 10,21 12,21 15,20 17,18 18,15 18,0
V	18	1,0 9,21;17,0 9,21
W	24	2,0 7,21;12,0 7,21;12,0 17,21;22,0 17,21
X	20	3,0 17,21;17,0 3,21
Y	18	1,0 9,10 9,21;17,0 9,10
Z	20	17,0 3,21;3,0 17,0;3,21 17,21
a	19	15,7 15,21;15,10 13,8 11,7 8,7 6,8 4,10 3,13 3,15 4,18 6,20 8,21 11,21 13,20 15,18
